Puesto,Ciudad,Índice de Calidad de Vida,Índice de Poder Adquisitivo,Índice de Seguridad,Índice de Sanidad,Índice de Costo de Vida,Relación Precio/Ingresos para Propiedades,Índice de Tiempo de Desplazamiento en Tráfico,Índice de Contaminación,Índice de Clima,Año
,"Honolulu, Hawaii, Estados Unidos",16181,10308,5827,6693,9415,899,4200,4150,9523,2018
,"Praga, República Checa",16031,7713,7245,7362,5384,1619,3397,3680,8062,2018
,"Oslo, Noruega",15941,10294,5599,7277,11723,1223,3741,2432,5999,2018
,"Seúl, Corea del Sur",15898,10752,6484,8573,8756,1812,3877,4032,6720,2018
,"Gdansk, Polonia",15857,7277,5855,6237,4901,1026,2891,2871,7199,2018
,"Doha, Catar",15850,12086,8552,7026,6612,493,3478,7041,4548,2018
,"Zagreb, Croacia",15815,6419,7399,6548,5800,1147,3346,3585,8158,2018
,"Oporto, Portugal",15747,6331,5693,7390,5492,1094,3150,3899,9687,2018
,"Madrid, España",15669,9636,5862,7924,6763,964,3674,5478,8530,2018
,"Cluj-Napoca, Rumania",15616,5981,7697,6286,4051,1227,2864,3756,7283,2018
,"San Francisco, California, Estados Unidos",15541,9296,5084,7263,9784,1230,4321,3742,9716,2018
,"Lisboa, Portugal",15528,5848,6647,6882,5769,1394,3568,3629,9859,2018
,"Phoenix, Arizona, Estados Unidos",15520,13929,4327,6925,6687,283,3016,6396,5213,2018
,"Filadelfia, Pensilvania, Estados Unidos",15423,11606,4147,7205,8346,315,4704,4961,7899,2018
,"Bratislava, Eslovaquia",15415,7275,6931,6316,5364,1216,3209,4204,8016,2018
,"Chicago, Illinois, Estados Unidos",15370,11917,3463,6484,8016,370,4522,3887,6904,2018
,"Miami, Florida, Estados Unidos",15369,9781,4581,6408,8601,576,4368,3950,8567,2018
,"Vilna, Lituania",15347,5697,6910,6827,5426,1450,2863,2834,6588,2018
,"Ciudad del Cabo, Sudáfrica",15334,9427,3012,7417,4755,674,4661,4054,9819,2018
,"Riad, Arabia Saudita",15206,12920,6665,6693,4821,273,3778,7222,4465,2018
,"Bruselas, Bélgica",15172,10435,4869,7839,8365,703,3265,6329,8456,2018
,"Singapur, Singapur",15045,9589,8377,6961,9140,2220,4599,3394,5799,2018
,"Mánchester, Reino Unido",15033,9891,4411,7742,7715,712,4093,5407,8728,2018
,"Tel Aviv-Yafo, Israel",14736,10136,5963,7427,9036,2182,4057,4925,9383,2018
,"Esmirna, Turquía",14721,5457,7303,7447,4097,814,3788,6275,9629,2018
,"Dublín, Irlanda",14702,8811,4936,5123,8992,988,3969,3522,8640,2018
,"Winnipeg, Canadá",14665,11461,4570,6712,7122,395,3335,4473,2604,2018
,"Regina, Canadá",14642,10912,4533,6839,7285,453,2589,4143,1540,2018
,"Timisoara, Rumania",14623,5909,7666,6599,4162,1027,2513,6296,8050,2018
,"Detroit, Michigan, Estados Unidos",14597,13162,2857,5672,7020,104,4742,5214,6864,2018
,"Los Angeles, California, Estados Unidos",14541,10901,5157,6426,8230,842,4742,6193,9590,2018
,"Varsovia, Polonia",14352,7731,6655,6135,4831,1138,3837,5192,7439,2018
,"Johannesburgo, Sudáfrica",14230,12599,2114,6141,5002,252,4492,6558,9142,2018
,"Minsk, Bielorrusia",14132,4377,7412,5934,3530,1505,2924,3784,6433,2018
,"Riga, Letonia",14025,5377,6204,5530,5487,1086,3522,3795,7457,2018
,"Durban, Sudáfrica",13907,9643,2079,4626,4630,322,3182,5484,9575,2018
,"Monterrey, México",13878,8422,4944,5856,3845,583,3148,6664,8037,2018
,"Novi Sad, Serbia",13868,4841,5588,5186,3890,1552,1944,4203,8334,2018
,"Nueva York, Nueva York, Estados Unidos",13844,10000,5532,6351,10000,1234,4439,5570,8113,2018
,"Guadalajara, México",13782,7187,4580,7672,3419,558,4312,6735,9283,2018
,"Breslavia, Polonia",13775,7419,5875,5783,4627,916,3513,5863,7803,2018
,"Iasi, Rumania",13631,5129,7331,5955,3981,1194,2971,5738,7304,2018
,"Barcelona, España",13519,7727,5416,7195,6975,1399,3193,6984,9573,2018
,"Salónica, Grecia",13518,4872,6583,6127,6494,952,2426,6457,8839,2018
,"Jeddah (Jiddah), Arabia Saudita",13403,11318,5119,5670,5100,348,3921,7896,6392,2018
,"Turín, Italia",13355,8562,4369,6989,7494,832,2744,7449,8608,2018
,"Pune, India",13280,9944,5822,6611,2966,851,4473,8019,7432,2018
,"Curitiba, Brasil",13266,4626,3463,6090,4943,1216,3688,3779,9963,2018
,"Pretoria, Sudáfrica",13261,10814,2148,6583,5319,215,5145,6966,9576,2018
,"Cracovia (Cracovia), Polonia",13239,7359,6402,6273,4579,1158,3018,7053,7238,2018
,"Ankara, Turquía",13185,5689,5656,6991,4121,705,3443,7366,9102,2018
,"Hyderabad, India",13077,8090,6201,6865,2692,652,4295,8123,7439,2018
,"París, Francia",12854,9762,4705,7309,9287,1768,4291,6650,8844,2018
,"Brasilia, Brasil",12831,4933,3556,4698,5384,1638,3471,3292,9921,2018
,"Bangalore, India",12822,10026,5033,6696,3034,768,5284,8375,8741,2018
,"Milán, Italia",12610,7194,5503,7279,8510,1786,3958,6385,8826,2018
,"Sofía, Bulgaria",12565,6066,5541,5253,4311,957,3299,6277,7465,2018
,"Budapest, Hungría",12549,5554,6304,4979,5100,1410,3698,5457,7771,2018
,"Londres, Reino Unido",12480,9261,5225,6775,8869,2219,4838,5956,8844,2018
,"Buenos Aires, Argentina",12349,6003,3759,7125,5605,1298,4789,5704,9822,2018
,"Bucarest, Rumania",12289,5875,7112,5472,4438,1058,3964,7208,7449,2018
,"Coimbatore, India",12254,5323,6024,6836,2461,1020,5247,6570,7944,2018
,"Ahmedabad, India",12153,7359,5951,6736,2867,774,4235,7338,4831,2018
,"Atenas, Grecia",12062,5286,5044,5109,6467,1074,3776,6274,9522,2018
,"Tiflis, Georgia",11754,3561,8019,5522,2973,1281,3960,7687,8380,2018
,"Ereván, Armenia",11700,3252,7012,4954,3412,1452,2896,5927,6311,2018
,"Gurgaon, India",11676,11097,3501,7237,3490,757,4337,9180,5958,2018
,"Estambul, Turquía",11650,5457,4965,6789,4473,1238,5503,6711,9538,2018
,"Belgrado, Serbia",11494,4025,6305,5414,4399,2169,3230,6016,8402,2018
,"Medellín, Colombia",11374,2933,5461,7698,3587,2035,4211,6653,9976,2018
,"Sarajevo, Bosnia y Herzegovina",11352,4889,5325,5466,4250,1330,3040,7087,7641,2018
,"Davao, Filipinas",11328,2886,7121,7346,3367,2352,3067,6083,5857,2018
,"Santiago de Chile, Chile",11237,5065,5034,6394,5685,1501,3638,7473,9021,2018
,"San Petersburgo, Rusia",11200,5675,5915,6156,4641,1344,4959,6437,6268,2018
,"Chennai, India",11119,7234,5788,7009,2842,1365,4556,8077,5517,2018
,"Hong Kong, Hong Kong, China)",11028,8286,7910,6381,7872,4108,4126,6935,8364,2018
,"Amán, Jordania",11012,4183,5801,7104,5847,786,5331,7975,8848,2018
,"Roma, Italia",10984,7278,4566,5950,7880,2048,4688,6750,9271,2018
,"Porto Alegre, Brasil",10911,4635,2293,5758,5388,1258,4086,5756,9854,2018
,"Montevideo, Uruguay",10847,3571,4411,6144,6718,1818,4332,5776,9787,2018
,"Kuala Lumpur, Malasia",10667,8073,3177,6240,4628,1114,4214,7297,5704,2018
,"Panamá, Panamá",10450,3824,5165,5756,5723,1319,3750,6794,6992,2018
,"Beirut, Líbano",10439,5268,5009,6942,6503,1743,3333,9030,9394,2018
,"Lviv, Ucrania",10365,2688,6008,5561,2531,2018,4224,5814,6961,2018
,"Almaty, Kazajistán",10325,4681,4994,5605,3605,1213,2971,7755,5830,2018
,"Skopje, Macedonia del Norte",10289,4199,5435,6247,3851,1509,3375,8353,7630,2018
,"Lahore, Pakistán",10152,5144,5310,6181,2953,1563,4326,7894,6752,2018
,"Ciudad de México, México",10072,6403,3343,6507,3754,1104,5170,8667,9237,2018
,"Járkov, Ucrania",10048,2719,5323,4304,2485,1655,3693,5710,6399,2018
,"Kiev (Kiev), Ucrania",10033,3748,5210,5320,2752,1739,3780,6885,6886,2018
,"Bogotá, Colombia",9990,4203,3842,6743,3899,1866,4953,7227,9721,2018
,"Moscú, Rusia",9858,5958,5402,5742,5182,1989,5408,6225,5516,2018
,"Bakú, Azerbaiyán",9848,2919,7325,3667,3131,1971,3334,8247,9002,2018
,"Bangkok, Tailandia",9818,4494,5294,8183,5579,2088,4490,7434,5839,2018
,"Belo Horizonte, Brasil",9540,3532,3091,5689,5041,1998,5237,5797,9874,2018
,"Ekaterimburgo, Rusia",9525,5261,5005,6863,4205,1047,3812,7739,2117,2018
,"Colombo, Sri Lanka",9398,2762,6252,7628,3772,2602,5822,5948,5911,2018
,"Delhi, India",8937,7833,4066,6476,3214,1541,5540,9225,5890,2018
,"Bombay, India",8875,7349,5548,6470,3259,2817,5844,8616,7148,2018
,"Calcuta, India",8860,5630,5029,5505,2799,1210,6553,7976,5924,2018
,"Lima, Perú",8625,3955,3156,5651,4392,1684,4400,8590,9762,2018
,"Teherán, Irán",8239,4328,4621,5223,3780,1385,5448,8584,6954,2018
,"Karachi, Pakistán",8209,3906,3780,5822,2710,1105,4522,9451,7096,2018
,"Ciudad Ho Chi Minh, Vietnam",8027,3692,4350,5562,4128,1733,3022,9460,6344,2018
,"Yakarta, Indonesia",7868,3480,4686,6124,4647,1760,5426,8232,6330,2018
,"Shanghái, China",7820,6616,5603,5969,5616,4284,4662,8429,8341,2018
,"Sao Paulo, Brasil",7662,4003,2759,5315,5683,2074,4891,8496,9917,2018
,"El Cairo, Egipto",7601,2527,4412,4371,2649,1250,4964,9474,8845,2018
,"Manila, Filipinas",7458,4304,4083,6684,4240,1688,5610,9103,6020,2018
,"Río de Janeiro, Brasil",7214,3915,2302,4200,5714,2131,5462,6993,8738,2018
,"Pekín, China",6320,7661,5191,6414,4609,4813,4858,9190,5770,2018
,"Daca, Bangladés",6158,3772,2943,3995,3364,1407,5553,9415,7129,2018
,"Nairobi, Kenia",2029,2787,4006,5960,4206,8332,5609,7862,9979,2018
,"Caracas, Venezuela",0,372,1745,3802,3364,21326,4720,7712,9993,2018
,"Canberra, Australia",22430,14653,7866,7991,6973,544,2293,1395,8272,2019
,"Eindhoven, Países Bajos",21639,12731,7489,8562,7179,448,2138,1852,8538,2019
,"Raleigh, Carolina del Norte, Estados Unidos",21605,16035,6943,7493,7006,258,3351,2159,8388,2019
,"Adelaida, Australia",20665,12641,6784,7420,6747,443,2975,1967,9496,2019
,"Zúrich, Suiza",20442,13994,8173,7500,12687,946,3363,1594,8148,2019
,"Madison, Wisconsin, Estados Unidos",20436,13640,7241,7958,6348,330,2388,2078,5164,2019
,"Brisbane, Australia",20290,13082,6570,8221,6978,650,4100,2080,9807,2019
,"Wellington, Nueva Zelanda",20196,10779,7102,7285,7236,732,2733,1521,9768,2019
,"Columbus, Ohio, Estados Unidos",19588,12733,5764,7528,6579,231,2521,2437,7129,2019
,"Charlotte, Carolina del Norte, Estados Unidos",19585,14553,5483,7500,7563,240,3802,2822,8405,2019
,"Ottawa, Canadá",19497,13021,7558,7458,6519,482,3253,1793,4446,2019
,"Victoria, Canadá",19479,9983,6801,7213,6722,774,2705,1628,9252,2019
,"Copenhague, Dinamarca",19451,10933,7617,7712,8459,885,2889,2147,8374,2019
,"Perth, Australia",19431,13069,5633,7713,7361,635,3718,2486,9571,2019
,"Luxemburgo, Luxemburgo",19324,11279,7451,7810,8964,1069,3365,1715,8262,2019
,"Viena, Austria",19307,9823,7745,7905,6912,1273,2476,1699,8035,2019
,"San Diego, California, Estados Unidos",19268,13648,6382,7177,7267,601,3681,3482,9708,2019
,"Austin, Texas, Estados Unidos",19257,14376,6540,7058,6994,403,3507,3697,8201,2019
,"San José, California, Estados Unidos",19257,17252,5804,6883,7636,610,3442,5085,9553,2019
,"La ciudad de Quebec, Canadá",19079,13185,8528,6714,6450,356,3052,3325,4798,2019
,"Edimburgo, Reino Unido",19043,10218,6913,8038,6950,870,2766,2354,8401,2019
,"Reikiavik, Islandia",19037,9311,7929,6766,10220,645,2004,1473,6881,2019
,"Dallas, Texas, Estados Unidos",18866,15815,5048,6633,6695,236,3614,3980,8185,2019
,"Múnich, Alemania",18848,11033,8302,8066,7337,1611,3316,2208,7598,2019
,"Seattle, Washington, Estados Unidos",18821,13920,5532,7251,8416,616,4299,2796,9173,2019
,"Ginebra, Suiza",18784,12636,7211,6992,11887,1034,2481,2944,8261,2019
,"Portland, Oregon, Estados Unidos",18761,12351,5477,7031,7493,493,3322,2719,8956,2019
,"Cork, Irlanda",18662,10071,6984,5461,7243,448,3273,1841,8978,2019
,"Helsinki, Finlandia",18640,10532,7742,7393,7833,1239,3208,1301,6279,2019
,"San Antonio, Texas, Estados Unidos",18637,13539,5389,6924,6187,224,2919,3940,8058,2019
,"Kansas City, Missouri, Estados Unidos",18536,13513,3977,7525,6881,208,2454,3371,7508,2019
,"Gotemburgo, Suecia",18531,11294,5649,7110,7149,1065,2385,1899,7749,2019
,"Spokane, Washington, Estados Unidos",18517,12107,4935,5986,6535,318,2417,1867,6712,2019
,"Jacksonville, Florida, Estados Unidos",18515,13331,4171,7483,6900,203,3519,3256,8781,2019
,"Sacramento, California, Estados Unidos",18361,13120,5141,7071,7776,371,2658,4246,9064,2019
,"Melbourne, Australia",18333,12094,5567,7518,7211,914,3922,2763,9430,2019
,"Glasgow, Reino Unido",18326,11077,5514,8435,6425,605,3627,3000,8478,2019
,"Calgary, Canadá",18308,13166,6861,7624,6840,523,3289,2535,3309,2019
,"Tampa, Florida, Estados Unidos",18285,12380,5220,6669,7046,318,3633,2893,8467,2019
,"Oakland, California, Estados Unidos",18268,13428,3589,8040,8424,614,3236,3378,9640,2019
,"Stuttgart, Alemania",18175,12180,7478,7198,6660,1005,3205,4115,8107,2019
,"Mineápolis, Estados Unidos",18151,12590,5128,8003,7533,311,3338,2349,4946,2019
,"La Haya (Den Haag), Países Bajos",18101,9316,7058,7868,7641,732,4200,2589,9061,2019
,"Boston, Massachusetts, Estados Unidos",18101,12189,6679,7560,8268,848,4336,2529,7173,2019
,"Saint Louis, Missouri, Estados Unidos",18096,13740,3284,7939,6677,238,2750,3642,7475,2019
,"Salt Lake City, Utah, Estados Unidos",17953,14468,7480,7019,6338,363,3472,5800,6652,2019
,"Sídney, Australia",17892,12047,6146,7276,7839,1102,4370,3113,9707,2019
,"Cincinnati, Ohio, Estados Unidos",17851,12699,4893,6850,6348,240,2661,3977,7324,2019
,"Mississauga, Canadá",17841,12114,5641,6816,6505,823,3081,2241,5872,2019
,"Rotterdam, Países Bajos",17832,10449,6389,8130,7059,669,3035,4248,8789,2019
,"Albuquerque, Nuevo México, Estados Unidos",17803,12206,3137,7222,6420,305,2644,2254,6706,2019
,"Valencia, España",17801,8691,6984,8210,5406,766,2710,4376,9384,2019
,"Hamburgo, Alemania",17764,10824,5339,7898,7284,976,3136,2820,8275,2019
,"Nashville, Tennessee, Estados Unidos",17750,13442,5204,6205,6750,309,3571,4064,8302,2019
,"Colonia, Alemania",17721,12517,5871,7691,6719,921,3795,3953,8485,2019
,"Brístol, Reino Unido",17687,11148,6041,7324,6907,816,2791,4155,8851,2019
,"San Francisco, California, Estados Unidos",17588,13405,5103,7119,9167,926,4456,3515,9726,2019
,"Tallin, Estonia",17551,7529,7948,7065,5280,965,2856,2223,6428,2019
,"Tucson, Arizona, Estados Unidos",17503,11599,4847,5918,6799,262,3216,2700,7266,2019
,"Leeds, Reino Unido",17502,11313,5738,8389,6510,680,3213,4694,8459,2019
,"Kelowna, Canadá",17426,10557,5181,7130,6699,536,2930,2334,5965,2019
,"Dubai, Emiratos Árabes Unidos",17404,13354,8296,6651,5509,385,3972,5250,5027,2019
,"Ámsterdam, Países Bajos",17329,9616,6552,7074,8088,1131,3093,3077,8745,2019
,"Fráncfort del Óder, Alemania",17295,11906,5588,7239,7081,1107,2746,4188,8472,2019
,"Edmonton, Canadá",17290,11988,5828,7808,6523,444,3059,2980,3211,2019
,"Orlando Florida, Estados Unidos",17242,11568,4449,6530,6938,296,3708,3429,8723,2019
,"Abu Dabi, Emiratos Árabes Unidos",17229,10660,8903,6874,6264,578,2653,4752,4389,2019
,"Halifax, Canadá",17205,9673,5789,7109,6886,611,2886,2438,5899,2019
,"Auckland, Nueva Zelanda",17151,9688,5400,7491,7698,1181,3784,2862,9989,2019
,"Vancouver, Canadá",17125,9145,6371,7376,6788,1618,3732,2317,9115,2019
,"Liubliana, Eslovenia",17122,7281,7724,6355,5494,1338,2540,2413,7714,2019
,"Tokio, Japón",17118,10266,8349,8065,8845,1339,4061,4465,8526,2019
,"Pittsburgh, Pensilvania, Estados Unidos",17114,10913,6399,7487,7479,221,3950,4359,7213,2019
,"Houston, Texas, Estados Unidos",17100,14652,3909,7227,6362,220,4221,5236,8553,2019
,"Atlanta, Georgia, Estados Unidos",16990,14547,3637,6421,7226,293,4422,4470,8973,2019
,"Denver, Colorado, Estados Unidos",16982,12676,5785,7096,7072,479,3521,4123,5628,2019
,"Gante, Bélgica",16862,9010,7508,8372,7371,904,4313,4507,8872,2019
,"Mascate, Omán",16809,8869,7547,5896,4892,1054,1861,3954,6722,2019
,"Baltimore, Maryland, Estados Unidos",16798,12536,2875,8029,7524,259,3274,4388,8124,2019
,"Mangalore, India",16793,6957,7458,7831,2325,1416,3220,2721,6665,2019
,"Hamilton, Canadá",16755,12558,5283,8251,5971,622,3581,4853,6106,2019
,"Doha, Catar",16725,13596,8783,7229,5890,569,3166,6684,3603,2019
,"Indianápolis, Indiana, Estados Unidos",16691,11683,4483,6896,6705,226,3083,4311,6992,2019
,"Berlín, Alemania",16680,10474,6019,7027,6862,1053,3321,4063,8335,2019
,"Washington D. C., Estados Unidos",16658,12608,4272,7158,9199,485,4163,3926,8162,2019
,"Oslo, Noruega",16649,10091,6161,7343,10190,1091,3348,2432,5999,2019
,"Estocolmo, Suecia",16645,10400,5282,6813,7875,1442,3716,1673,6967,2019
,"Gdansk, Polonia",16478,7235,6823,6051,4165,1035,2817,2858,7551,2019
,"Brno, República Checa",16458,7519,7326,7622,4600,1145,2499,4520,7817,2019
,"Bursa, Turquía",16445,4384,7642,7935,3602,584,3523,4065,9339,2019
,"Montreal, Canadá",16439,10795,6815,6249,6247,716,4117,3200,5237,2019
,"Honolulu, Hawaii, Estados Unidos",16422,10103,5622,6992,9567,866,4252,3685,9533,2019
,"Zagreb, Croacia",16204,6464,7568,6550,5112,1149,3375,3248,8182,2019
,"Chicago, Illinois, Estados Unidos",16124,13336,3536,6837,7775,354,4099,4103,6611,2019
,"Phoenix, Arizona, Estados Unidos",15955,14314,4651,6679,6588,280,3051,6142,5376,2019
,"Limasol, Chipre",15943,8000,6828,4966,5816,819,1706,5394,9574,2019
,"Praga, República Checa",15916,7339,7405,7310,4840,1769,3346,3613,8067,2019
,"Milwaukee, Wisconsin, Estados Unidos",15889,10227,3471,6646,7022,295,3020,3180,6096,2019
,"Vilna, Lituania",15885,6043,7082,6675,4826,1324,2837,2605,6659,2019
,"Las Vegas, Nevada, Estados Unidos",15808,13359,4430,5441,6781,278,2819,5212,5740,2019
,"Amberes, Bélgica",15790,9455,6493,7722,7218,601,3667,6027,8542,2019
,"Birmingham, Reino Unido",15735,9621,4432,7374,6307,797,3629,4440,8766,2019
,"Singapur, Singapur",15691,10377,7853,7030,6979,2156,4215,3229,5745,2019
,"Filadelfia, Pensilvania, Estados Unidos",15651,11848,4191,7254,8019,331,4192,5182,7798,2019
,"Oporto, Portugal",15543,5320,5854,7375,5098,1281,2869,3685,9661,2019
,"Cluj-Napoca, Rumania",15506,5422,7884,6544,3781,1349,2720,3921,7435,2019
,"Tel Aviv-Yafo, Israel",15309,8631,6899,7260,7846,2043,3774,4366,9388,2019
,"Miami, Florida, Estados Unidos",15175,8692,4709,6404,8045,591,4302,3791,8569,2019
,"Nizhni Nóvgorod, Rusia",15174,3918,7571,8388,3857,1186,2632,3245,4551,2019
,"Toronto, Canadá",15116,8738,6437,7484,8068,1307,4253,3794,6535,2019
,"Bruselas, Bélgica",15085,9671,5060,7816,7545,691,3243,6251,8385,2019
,"Madrid, España",15074,7959,6485,7858,6048,1226,3524,5628,8547,2019
,"Los Angeles, California, Estados Unidos",15065,11347,5287,6587,7820,772,4716,6035,9550,2019
,"Regina, Canadá",15064,10797,4418,6716,6569,466,1815,3894,1428,2019
,"Riad, Arabia Saudita",15049,11349,7052,6425,4942,318,3013,7123,4445,2019
,"Poznan, Polonia",14989,6578,7345,6394,3958,1046,3100,5192,7741,2019
,"Bratislava, Eslovaquia",14982,7000,6972,5837,4840,1240,3038,4629,8072,2019
,"Lisboa, Portugal",14954,5116,6922,7076,5367,1800,3545,3841,9859,2019
,"Haifa, Israel",14851,9112,6746,7459,7382,1116,3033,7348,9357,2019
,"Winnipeg, Canadá",14768,10775,4461,6847,6044,491,3236,3930,2467,2019
,"Mánchester, Reino Unido",14753,9652,4419,7770,6768,909,4057,5562,8695,2019
,"Dublín, Irlanda",14698,9073,4955,4967,7739,1057,3806,3787,8589,2019
,"Ciudad del Cabo, Sudáfrica",14652,7390,2994,7162,4317,840,4440,3670,9819,2019
,"Seúl, Corea del Sur",14619,9641,6551,8401,8278,2067,4215,4726,6839,2019
,"Manama, Baréin",14576,7089,7451,6437,5595,825,2971,5750,6431,2019
,"Timisoara, Rumania",14487,5369,7482,6419,3726,1140,2573,5857,8205,2019
,"Varsovia, Polonia",14458,7397,7341,6264,4264,1214,3631,5562,7461,2019
,"Riga, Letonia",14382,5547,6262,5830,5037,984,3269,4001,7470,2019
,"Islamabad, Pakistán",14360,4621,6712,6410,2314,945,3088,4880,7691,2019
,"Minsk, Bielorrusia",14339,4598,7701,6011,3340,1410,2862,4088,6437,2019
,"Brasilia, Brasil",14316,6318,3625,4914,4705,1162,2966,3260,9897,2019
,"Jeddah (Jiddah), Arabia Saudita",14315,10274,6198,5597,4958,333,3320,7273,6617,2019
,"Durban, Sudáfrica",14235,8784,2023,5143,3996,327,2762,5140,9561,2019
,"Nicosia, Chipre",14227,6065,7067,4965,6465,798,2194,6066,8601,2019
,"Barcelona, España",14185,7602,5725,7536,6020,1381,3103,6583,9573,2019
,"San Juan, Puerto Rico",14126,10161,3044,6033,6646,378,3842,4928,7125,2019
,"Breslavia, Polonia",14101,6754,7004,6185,4102,1020,3320,6149,7839,2019
,"Esmirna, Turquía",14065,4344,7247,7192,3524,912,3922,6265,9688,2019
,"Taipéi, Taiwán",13963,5709,8414,8538,6309,3223,3150,4990,8438,2019
,"Nueva York, Nueva York, Estados Unidos",13886,10000,5578,6349,10000,1166,4253,5708,7966,2019
,"Varna, Bulgaria",13725,4885,6824,6089,3852,896,3028,6176,8508,2019
,"Curitiba, Brasil",13485,3868,3558,6425,4063,1431,3114,3505,9960,2019
,"Iasi, Rumania",13481,5358,7456,5798,3608,1084,3344,6041,7304,2019
,"Cracovia (Cracovia), Polonia",13479,6933,7116,6238,4043,1175,3069,7043,7386,2019
,"Detroit, Michigan, Estados Unidos",13344,10019,2816,6375,6004,172,4743,5517,6603,2019
,"Novi Sad, Serbia",13307,4524,5770,4674,3476,1641,1816,4741,8402,2019
,"Pretoria, Sudáfrica",13237,7818,1961,6742,4698,271,4196,5884,9583,2019
,"Salónica, Grecia",13187,4768,6505,5619,5649,1074,2619,6327,8839,2019
,"Ankara, Turquía",13016,4939,5865,6699,3429,691,3632,7158,9149,2019
,"Monterrey, México",13002,6593,4863,6313,3498,686,3130,7005,8037,2019
,"Turín, Italia",12974,7905,4269,6722,6864,902,3031,7144,8566,2019
,"Johannesburgo, Sudáfrica",12937,8995,1971,5896,4576,355,4231,6184,9138,2019
,"Montevideo, Uruguay",12879,5354,4488,6495,5667,1288,4000,5276,9804,2019
,"Hyderabad, India",12879,6771,6508,6746,2400,770,4196,7688,7354,2019
,"Bangalore, India",12865,8826,5425,6855,2788,815,5061,8213,8939,2019
,"Pune, India",12765,7497,6209,6818,2740,1137,4305,7469,7432,2019
,"Coimbatore, India",12762,5391,6486,7026,2231,1052,5195,6269,7810,2019
,"Milán, Italia",12759,6887,5558,7106,7264,1728,3739,6346,8812,2019
,"Sofía, Bulgaria",12734,6130,5571,5415,4017,887,3016,6610,7601,2019
,"Atenas, Grecia",12658,5025,5189,5439,5831,1030,3595,5825,9518,2019
,"Campinas, Brasil",12621,4743,3283,6157,4677,1190,3406,4973,9887,2019
,"Budapest, Hungría",12607,5754,6349,4668,4556,1483,3790,5274,7841,2019
,"Londres, Reino Unido",12567,9276,4852,6785,8140,2083,4703,5965,8825,2019
,"París, Francia",12509,8927,4798,7482,8427,1912,4264,6771,8839,2019
,"Medellín, Colombia",12275,3597,5392,7671,3053,1683,3816,6536,9976,2019
,"Quito, Ecuador",12249,4373,4672,6951,4652,1156,3996,6444,9897,2019
,"Ereván, Armenia",12213,3368,7763,4789,3263,1498,2788,5742,6342,2019
,"Bucarest, Rumania",12077,5753,7226,5369,3960,1108,4153,7387,7561,2019
,"Guadalajara, México",12033,4877,4207,7818,3294,1194,4034,7052,9283,2019
,"Ahmedabad, India",11959,5911,6327,6870,2406,827,3948,7376,4927,2019
,"Gurgaon, India",11857,10400,3866,7234,3085,778,3937,9106,5987,2019
,"Tiflis, Georgia",11795,3458,8024,5267,2847,1289,3609,7704,8420,2019
,"Santiago de Chile, Chile",11618,5215,4954,6680,5062,1445,3853,7119,9021,2019
,"Lviv, Ucrania",11536,3168,6156,5627,2693,1602,3569,5588,6961,2019
,"San José, Costa Rica",11510,4697,4344,6315,5450,816,6734,5481,9948,2019
,"Amán, Jordania",11380,4096,5840,6678,5676,802,4421,7856,8905,2019
,"Panamá, Panamá",11269,4108,5430,5951,5457,1173,3597,6320,6784,2019
,"Buenos Aires, Argentina",11247,5349,3713,6918,3530,2381,4851,5450,9828,2019
,"Belgrado, Serbia",11244,3801,6275,5478,3930,2221,3473,6090,8414,2019
,"Porto Alegre, Brasil",11177,4095,2196,6113,4238,1334,3254,5864,9868,2019
,"Ciudad de Guatemala, Guatemala",11176,4345,3958,6438,4289,1091,4782,6802,9989,2019
,"San Petersburgo, Rusia",11159,5208,6011,5867,3722,1417,4854,6122,6064,2019
,"Estambul, Turquía",11144,4203,5101,6787,3766,1249,5257,6973,9302,2019
,"Kuala Lumpur, Malasia",11013,7611,3298,6501,4181,1141,4009,6903,5655,2019
,"Roma, Italia",11001,6452,4699,5963,6984,1980,4629,6667,9370,2019
,"Sarajevo, Bosnia y Herzegovina",10809,4532,4890,5136,3911,1405,2869,7318,7818,2019
,"Belo Horizonte, Brasil",10778,3519,3402,5922,4353,1689,4547,5376,9850,2019
,"Chennai, India",10752,6295,5885,7076,2497,1560,4579,7822,5322,2019
,"Beirut, Líbano",10560,4912,5494,6881,6041,1514,3823,9047,9474,2019
,"Skopje, Macedonia del Norte",10546,4038,5519,5889,3438,1465,2822,8262,7630,2019
,"Moscú, Rusia",10539,6174,5849,5779,4146,1841,5368,6132,5583,2019
,"Kiev (Kiev), Ucrania",10451,3900,5200,5386,3027,1428,3966,6721,6995,2019
,"Odesa (Odesa), Ucrania",10276,3142,4743,5389,2925,1558,3681,6675,7900,2019
,"Davao, Filipinas",10271,2317,7125,7186,3482,3184,2761,6199,5857,2019
,"Járkov, Ucrania",10199,3083,5542,4449,2734,1338,3809,6371,6535,2019
,"Hong Kong, Hong Kong, China)",10090,6934,8068,6735,7814,4942,4100,6639,8364,2019
,"Bakú, Azerbaiyán",9958,3158,7056,3687,2969,1816,3866,7963,9140,2019
,"Lahore, Pakistán",9849,3638,5794,6480,2354,1797,4124,7878,6756,2019
,"Ekaterimburgo, Rusia",9675,4800,5157,6274,3433,1119,3324,7380,2133,2019
,"Hanói, Vietnam",9673,3909,5687,5189,3893,1686,2531,9156,7904,2019
